"Source","Target","Weight"
"HYBRID/JAMES JIMMY M","ROGUE /",2
"DOCTOR DREDD","TORPEDO III/BROCK JO",2
"WORTHINGTON, KATHRYN","BLOB/FRED J. DUKES",2
"MOJO","MYSTIQUE/RAVEN DARKH",2
"MIMIC/CALVIN RANKIN","MYSTIQUE/RAVEN DARKH",2
"GATEWAY","MYSTIQUE/RAVEN DARKH",2
"MR. SINISTER/NATHAN ","MYSTIQUE/RAVEN DARKH",2
"HYBRID/JAMES JIMMY M","MYSTIQUE/RAVEN DARKH",2
"DOCTOR DREDD","RESTON, CLIVE",2
"RESTON, CLIVE","DOCTOR DREDD",2
"SMITH, SIR DENIS NAY","DOCTOR DREDD",2
"TARR, BLACK JACK","DOCTOR DREDD",2
"DOCTOR DREDD","WU, LEIKO",2
"D'SPAYRE","MAN-THING/THEODORE T",2
"RESTON, CLIVE","ROM, SPACEKNIGHT",2
"SMITH, SIR DENIS NAY","ROM, SPACEKNIGHT",2
"TARR, BLACK JACK","ROM, SPACEKNIGHT",2
"IRON MAN/TONY STARK ","ROM, SPACEKNIGHT",2
"RESTON, CLIVE","STARSHINE II/BRANDY ",2
"SMITH, SIR DENIS NAY","STARSHINE II/BRANDY ",2
"TARR, BLACK JACK","STARSHINE II/BRANDY ",2
"TOMBSTONE/LONNIE THO","SHANG-CHI",2
"NIGHTMARE/EDVARD HAB","SHANG-CHI",2
"DOCTOR DREDD","SHANG-CHI",2
"IRON MAN/TONY STARK ","SHANG-CHI",2
"DOCTOR DREDD","SMITH, SIR DENIS NAY",2
"DOCTOR DREDD","TARR, BLACK JACK",2
"IRON MAN/TONY STARK ","RAVEN, SABBATH II/EL",2
"GUNSHIP/CARY ROUNTRE","IRON MAN IV/JAMES R.",2
"RHODES, MR.","IRON MAN IV/JAMES R.",2
"IRON MAN/TONY STARK ","FORTUNE, DOMINIC",2
"IRON MAN/TONY STARK ","STEELE, SIMON/WOLFGA",2
"MORGAN","BLACK PANTHER/T'CHAL",2
"RICHARDS, NATHANIEL","BLACK PANTHER/T'CHAL",2
"SPIDER-MAN CLONE/BEN","BLACK PANTHER/T'CHAL",2
"NIGHTMARE/EDVARD HAB","BLACK PANTHER/T'CHAL",2
"IRON MAN/TONY STARK ","PRINCESS ZANDA",2
"GATEWAY","PUFF ADDER",1
"GATEWAY","ANACONDA/BLANCHE SIT",1
"GATEWAY","ROCK PYTHON",1
"IRON MAN/TONY STARK ","ROCK PYTHON",1
"EON","BLACK RACER/",1
"GATEWAY","BLACK RACER/",1
"IRON MAN/TONY STARK ","BLACK RACER/",1
"GATEWAY","BLACK MAMBA/TANYA SE",1
"IRON MAN/TONY STARK ","BLACK MAMBA/TANYA SE",1
"GATEWAY","FER DE LANCE/TERESA",1
"GATEWAY","BUSHMASTER II/QUINCY",1
"IRON MAN/TONY STARK ","BUSHMASTER II/QUINCY",1
"GATEWAY","ASP II/CLEO",1
"IRON MAN/TONY STARK ","ASP II/CLEO",1
"EON","COBRA/KLAUS VORHEES",1
"BANNON, LANCE","COBRA/KLAUS VORHEES",1
"FOREIGNER/RAFAEL BAS","COBRA/KLAUS VORHEES",1
"BLACK CAT/FELICIA HA","COBRA/KLAUS VORHEES",1
"GATEWAY","COBRA/KLAUS VORHEES",1
"BULLSEYE II/BENJAMIN","COBRA/KLAUS VORHEES",1
"GATEWAY","COACHWHIP",1
"IRON MAN/TONY STARK ","COACHWHIP",1
"MORGAN","MISTER HYDE/CALVIN Z",1
"BANNON, LANCE","MISTER HYDE/CALVIN Z",1
"FOREIGNER/RAFAEL BAS","MISTER HYDE/CALVIN Z",1
"BLACK CAT/FELICIA HA","MISTER HYDE/CALVIN Z",1
"GREEN GOBLIN IV/PHIL","MISTER HYDE/CALVIN Z",1
"BULLSEYE II/BENJAMIN","MISTER HYDE/CALVIN Z",1
"WARD, SEN. STEWART","BULLSEYE II/BENJAMIN",1
"STACY, ARTHUR","BULLSEYE II/BENJAMIN",1
"BULLSEYE II/BENJAMIN","WARD, SEN. STEWART",1
"STACY, PAUL","WARD, SEN. STEWART",1
"SHA SHAN","DR. OCTOPUS/OTTO OCT",1
"MUGGINS, MAMIE","DR. OCTOPUS/OTTO OCT",1
"BYRNES, GAYLE WATSON","DR. OCTOPUS/OTTO OCT",1
"BULLSEYE II/BENJAMIN","DR. OCTOPUS/OTTO OCT",1
"VENOM/EDDIE BROCK","DR. OCTOPUS/OTTO OCT",1
"MAYHEM/DET. BRIGID O","BEYONDER",1
"BANNON, LANCE","BEYONDER",1
"WOLFE, SARA","BEYONDER",1
"DRAGON OF THE MOON","BEYONDER",1
"INTERLOPER","BEYONDER",1
"MANSLAUGHTER","BEYONDER",1
"GIGANTUS","HUMAN TORCH/JOHNNY S",1
"BLUE DIAMOND/PROFESS","HUMAN TORCH/JOHNNY S",1
"RED RAVEN","HUMAN TORCH/JOHNNY S",1
"THIN MAN/BRUCE DICKS","HUMAN TORCH/JOHNNY S",1
"JACK FROST/","HUMAN TORCH/JOHNNY S",1
"FREDERICKS, GENERAL","HUMAN TORCH/JOHNNY S",1
"CERBERUS","HUMAN TORCH/JOHNNY S",1
"WOLFE, SARA","HUMAN TORCH/JOHNNY S",1
"LANDERS, GENA","HUMAN TORCH/JOHNNY S",1
"ALRAUNE, MARLENE","HUMAN TORCH/JOHNNY S",1
"STACY, CAPT. GEORGE","HUMAN TORCH/JOHNNY S",1
"RED SKULL II/ALBERT ","HUMAN TORCH/JOHNNY S",1
"SPEEDBALL II/DARRION","HUMAN TORCH/JOHNNY S",1
"TRAINER, DR. SEWARD","HUMAN TORCH/JOHNNY S",1
"GREEN GOBLIN IV/PHIL","HUMAN TORCH/JOHNNY S",1
"BYRNES, GAYLE WATSON","HUMAN TORCH/JOHNNY S",1
"PUNCHOUT","HUMAN TORCH/JOHNNY S",1
"GATEWAY","HUMAN TORCH/JOHNNY S",1
"MR. SINISTER/NATHAN ","HUMAN TORCH/JOHNNY S",1
"WARD, SEN. STEWART","HUMAN TORCH/JOHNNY S",1
"DRAGON OF THE MOON","HUMAN TORCH/JOHNNY S",1
"INTERLOPER","HUMAN TORCH/JOHNNY S",1
"MANSLAUGHTER","HUMAN TORCH/JOHNNY S",1
"GARFIELD, MURRAY","MOONDRAGON/HEATHER D",1
"UNBEING/BILLY BETELH","MOONDRAGON/HEATHER D",1
"VAUGHAN, GAYLE","MOONDRAGON/HEATHER D",1
"ORIGIN/PHYLLIS TWOMB","MOONDRAGON/HEATHER D",1
"FROG-MAN II/EUGENE P","MOONDRAGON/HEATHER D",1
"CHANG, IMEI","MOONDRAGON/HEATHER D",1
"BLACK CAT/FELICIA HA","MOONDRAGON/HEATHER D",1
"DRAGON OF THE MOON","MOONDRAGON/HEATHER D",1
"BLESSING, MORGANA","INTERLOPER",1
"CHANG, IMEI","INTERLOPER",1
"WOLFE, SARA","INTERLOPER",1
"BANSHEE/SEAN CASSIDY","SOUTHERN, CANDY",1
"FROG-MAN II/EUGENE P","SOUTHERN, CANDY",1
"WOLFE, SARA","SOUTHERN, CANDY",1
"WORTHINGTON, WARREN ","SOUTHERN, CANDY",1
"DRAGON OF THE MOON","SOUTHERN, CANDY",1
"ROBERTS, TED","SOUTHERN, CANDY",1
"COBALT MAN","SOUTHERN, CANDY",1
"IRON MAN/TONY STARK ","SOUTHERN, CANDY",1
"BLESSING, MORGANA","MANSLAUGHTER",1
"CHANG, IMEI","MANSLAUGHTER",1
"WOLFE, SARA","MANSLAUGHTER",1
"KUBIK","MANSLAUGHTER",1
"STAR THIEF II","MANSLAUGHTER",1
"FROG-MAN II/EUGENE P","CLOUD",1
"WOLFE, SARA","CLOUD",1
"KUBIK","CLOUD",1
"STAR THIEF II","CLOUD",1
"MANSLAUGHTER","KUBIK",1
"CLOUD","KUBIK",1
"STAR THIEF II","KUBIK",1
"GARFIELD, MURRAY","GARGOYLE II/ISAAC CH",1
"FROG-MAN II/EUGENE P","GARGOYLE II/ISAAC CH",1
"WOLFE, SARA","GARGOYLE II/ISAAC CH",1
"DRAGON OF THE MOON","GARGOYLE II/ISAAC CH",1
"KUBIK","GARGOYLE II/ISAAC CH",1
"STAR THIEF II","GARGOYLE II/ISAAC CH",1
"MANSLAUGHTER","STAR THIEF II",1
"CLOUD","STAR THIEF II",1
"KUBIK","STAR THIEF II",1
"MCCORMICK, BARRY","TOKKOTS",1
"TOKKOTS","MCCORMICK, BARRY",1
"MCCORMICK, BARRY","FAIRMONT, HANNAH",1
"MORGAN","GRANT, GLORIA GLORY",1
"CREED, GRAYDON","GRANT, GLORIA GLORY",1
"MANOLIS, LT. NICK","GRANT, GLORIA GLORY",1
"ALRAUNE, MARLENE","GRANT, GLORIA GLORY",1
"LOCKER, MR.","GRANT, GLORIA GLORY",1
"TRAVELLER, DR. JUDAS","GRANT, GLORIA GLORY",1
"TRAINER, DR. SEWARD","GRANT, GLORIA GLORY",1
"STACY, GWEN (CLONE)","GRANT, GLORIA GLORY",1
"RAVEN, LT. JACOB","GRANT, GLORIA GLORY",1
"KAINE","GRANT, GLORIA GLORY",1
"TOKKOTS","GRANT, GLORIA GLORY",1
"MCCORMICK, BARRY","GRANT, GLORIA GLORY",1
"IRON MAN/TONY STARK ","GRANT, GLORIA GLORY",1
"MAXWELL, MORRIS","LUMLEY, JUDY",1
"OVERRIDE/DR. GREGORY","LUMLEY, JUDY",1
"DOLMAN","LUMLEY, JUDY",1
"LUMLEY, JUDY","MAXWELL, MORRIS",1
"LUMLEY, JUDY","THORSON, DR. WALTER",1
"MAXWELL, MORRIS","THORSON, DR. WALTER",1
"OVERRIDE/DR. GREGORY","THORSON, DR. WALTER",1
"DOLMAN","THORSON, DR. WALTER",1
"IRON MAN/TONY STARK ","THORSON, DR. WALTER",1
"PULASKI, JOSEPHINE J","THOMPSON, EUGENE FLA",1
"TRAVELLER, DR. JUDAS","THOMPSON, EUGENE FLA",1
"STACY, GWEN (CLONE)","THOMPSON, EUGENE FLA",1
"BYRNES, GAYLE WATSON","THOMPSON, EUGENE FLA",1
"BULLSEYE II/BENJAMIN","THOMPSON, EUGENE FLA",1
"LUMLEY, JUDY","THOMPSON, EUGENE FLA",1
"MAXWELL, MORRIS","THOMPSON, EUGENE FLA",1
"DOLMAN","THOMPSON, EUGENE FLA",1
"FORTUNATO, GIACOMO J","THOMPSON, EUGENE FLA",1
"STACY, PAUL","THOMPSON, EUGENE FLA",1
"MAJOR DOMO","ICEMAN/ROBERT BOBBY ",1
"MOJO","ICEMAN/ROBERT BOBBY ",1
"ARIZE","ICEMAN/ROBERT BOBBY ",1
"MAGOG II","ICEMAN/ROBERT BOBBY ",1
"GOG III","ICEMAN/ROBERT BOBBY ",1
"DAYTRIPPER/AMANDA SE","ICEMAN/ROBERT BOBBY ",1
"SHA SHAN","ICEMAN/ROBERT BOBBY ",1
"VIBRAXAS/N'KANO","ICEMAN/ROBERT BOBBY ",1
"DEVLOR","ICEMAN/ROBERT BOBBY ",1
"RED RAVEN","ICEMAN/ROBERT BOBBY ",1
"OGRE","ICEMAN/ROBERT BOBBY ",1
"LOCUST","ICEMAN/ROBERT BOBBY ",1
"DOMINUS","ICEMAN/ROBERT BOBBY ",1
"HENDERSHOOT, COLONEL","ICEMAN/ROBERT BOBBY ",1
"BANNON, LANCE","ICEMAN/ROBERT BOBBY ",1
"FOREIGNER/RAFAEL BAS","ICEMAN/ROBERT BOBBY ",1
"CERBERUS","ICEMAN/ROBERT BOBBY ",1
"WOLFE, SARA","ICEMAN/ROBERT BOBBY ",1
"STACY, GWEN","ICEMAN/ROBERT BOBBY ",1
"HAWKSHAW","ICEMAN/ROBERT BOBBY ",1
"DRAGON OF THE MOON","ICEMAN/ROBERT BOBBY ",1
"KUBIK","ICEMAN/ROBERT BOBBY ",1
"STAR THIEF II","ICEMAN/ROBERT BOBBY ",1
"LUMLEY, JUDY","ICEMAN/ROBERT BOBBY ",1
"ELLIS, KEN","OVERRIDE/DR. GREGORY",1
"LUMLEY, JUDY","OVERRIDE/DR. GREGORY",1
"FORTUNATO, GIACOMO J","OVERRIDE/DR. GREGORY",1
"STACY, ARTHUR","OVERRIDE/DR. GREGORY",1
"STACY, PAUL","OVERRIDE/DR. GREGORY",1
"LUMLEY, JUDY","KWAN, TERRY",1
"IRON MAN/TONY STARK ","KWAN, TERRY",1
"SHA SHAN","URICH, BEN",1
"KINGSLEY, DANIEL","URICH, BEN",1
"MUGGINS, MAMIE","URICH, BEN",1
"FOREIGNER/RAFAEL BAS","URICH, BEN",1
"SLOAN, DR.","URICH, BEN",1
"SPEEDBALL II/DARRION","URICH, BEN",1
"LOCKER, MR.","URICH, BEN",1
"TRAVELLER, DR. JUDAS","URICH, BEN",1
"STACY, GWEN (CLONE)","URICH, BEN",1
"CAPUTO, DR. JULIA","URICH, BEN",1
"WARD, SEN. STEWART","URICH, BEN",1
"LUMLEY, JUDY","URICH, BEN",1
"MAXWELL, MORRIS","URICH, BEN",1
"DOLMAN","URICH, BEN",1
"VENOM/EDDIE BROCK","URICH, BEN",1
"LUMLEY, JUDY","DOLMAN",1
"KINE, BENEDICT","JAMESON, J. JONAH",1
"SHAW, SHINOBI","JAMESON, J. JONAH",1
"BRICKMAN, SEN. MILES","JAMESON, J. JONAH",1
"HOBGOBLIN III/LEFTY ","JAMESON, J. JONAH",1
"BLESSING, MORGANA","JAMESON, J. JONAH",1
"BARON BLOOD II/VICTO","JAMESON, J. JONAH",1
"CHANG, IMEI","JAMESON, J. JONAH",1
"WOLFE, SARA","JAMESON, J. JONAH",1
"PROUST, PAUL","JAMESON, J. JONAH",1
"SPEEDBALL II/DARRION","JAMESON, J. JONAH",1
"HINDSIGHT LAD/CARLTO","JAMESON, J. JONAH",1
"LOCKER, MR.","JAMESON, J. JONAH",1
"GUARDIAN IV","JAMESON, J. JONAH",1
"CAPUTO, DR. JULIA","JAMESON, J. JONAH",1
"BYRNES, GAYLE WATSON","JAMESON, J. JONAH",1
"GREGOR","JAMESON, J. JONAH",1
"MACE","JAMESON, J. JONAH",1
"MR. SINISTER/NATHAN ","JAMESON, J. JONAH",1
"TOKKOTS","JAMESON, J. JONAH",1
"MCCORMICK, BARRY","JAMESON, J. JONAH",1
"LUMLEY, JUDY","JAMESON, J. JONAH",1
"LUMLEY, JUDY","CALDRONE, JAVIER",1
"IRON MAN/TONY STARK ","CALDRONE, JAVIER",1
"GILBERTI, ROSE","MACHINE MAN/X-51",1
"MASTER MOLD III","MACHINE MAN/X-51",1
"MIMIC/CALVIN RANKIN","SPAULDING, PETER",1
"IRON MAN/TONY STARK ","SPAULDING, PETER",1
"MORGAN","WATSON, ANNA",1
"LIGHTMASTER/EDWARD L","WATSON, ANNA",1
"FROG-MAN II/EUGENE P","WATSON, ANNA",1
"GREEN GOBLIN IV/PHIL","WATSON, ANNA",1
"GUARDIAN IV","WATSON, ANNA",1
"JACK","WATSON, ANNA",1
"TOMBSTONE/LONNIE THO","WATSON, ANNA",1
"HITMAN/LT. BURT KENY","WATSON-PARKER, MARY ",1
"LIGHTMASTER/EDWARD L","WATSON-PARKER, MARY ",1
"CREED, GRAYDON","WATSON-PARKER, MARY ",1
"SILVER DAGGER/ISAIAH","WATSON-PARKER, MARY ",1
"SHIFFMAN, MAXIE","WATSON-PARKER, MARY ",1
"GUARDIAN IV","WATSON-PARKER, MARY ",1
"LUMLEY, JUDY","WATSON-PARKER, MARY ",1
"DOLMAN","WATSON-PARKER, MARY ",1
"ZOMBIE/SIMON GARTH","WATSON-PARKER, MARY ",1
"GARTH, DONNA","WATSON-PARKER, MARY ",1
"BLADE","WATSON-PARKER, MARY ",1
"BLADE","GARTH, DONNA",1
"LIGHTMASTER/EDWARD L","KINGPIN/WILSON FISK",1
"SHIFFMAN, MAXIE","KINGPIN/WILSON FISK",1
"PULASKI, JOSEPHINE J","KINGPIN/WILSON FISK",1
"JACKAL/MILES WARREN","KINGPIN/WILSON FISK",1
"WARD, SEN. STEWART","KINGPIN/WILSON FISK",1
"RESTON, CLIVE","KINGPIN/WILSON FISK",1
"HOBGOBLIN III/LEFTY ","LEEDS, BETTY BRANT",1
"ALRAUNE, MARLENE","LEEDS, BETTY BRANT",1
"TRAVELLER, DR. JUDAS","LEEDS, BETTY BRANT",1
"BUCKNER, GRANT","LEEDS, BETTY BRANT",1
"CAPUTO, DR. JULIA","LEEDS, BETTY BRANT",1
"GREGOR","LEEDS, BETTY BRANT",1
"BULLSEYE II/BENJAMIN","LEEDS, BETTY BRANT",1
"LUMLEY, JUDY","LEEDS, BETTY BRANT",1
"MAXWELL, MORRIS","LEEDS, BETTY BRANT",1
"DOLMAN","LEEDS, BETTY BRANT",1
"BLADE","LEEDS, BETTY BRANT",1
"MORGAN","MORBIUS/DR. MICHAEL ",1
"FORTUNATO, GIACOMO J","MORBIUS/DR. MICHAEL ",1
"STACY, ARTHUR","MORBIUS/DR. MICHAEL ",1
"STACY, PAUL","MORBIUS/DR. MICHAEL ",1
"IRON MAN/TONY STARK ","MORBIUS/DR. MICHAEL ",1
"LIZARD/DR. CURTIS CO","FORTUNATO, GIACOMO J",1
"TRAVELLER, DR. JUDAS","FORTUNATO, GIACOMO J",1
"OVERRIDE/DR. GREGORY","FORTUNATO, GIACOMO J",1
"ALRAUNE, MARLENE","ROBERTSON, JOE",1
"PROUST, PAUL","ROBERTSON, JOE",1
"LOCKER, MR.","ROBERTSON, JOE",1
"GUARDIAN IV","ROBERTSON, JOE",1
"CAPUTO, DR. JULIA","ROBERTSON, JOE",1
"BYRNES, GAYLE WATSON","ROBERTSON, JOE",1
"MACE","ROBERTSON, JOE",1
"BLADE","ROBERTSON, JOE",1
"BLESSING, MORGANA","BLADE",1
"GARTH, DONNA","BLADE",1
"STACY, GWEN","STACY, JILL",1
"STACY, CAPT. GEORGE","STACY, JILL",1
"BLACK CAT/FELICIA HA","STACY, JILL",1
"GREEN GOBLIN IV/PHIL","STACY, JILL",1
"BULLSEYE II/BENJAMIN","STACY, JILL",1
"IRON MAN/TONY STARK ","STACY, JILL",1
"STACY, CAPT. GEORGE","STACY, ARTHUR",1
"ELLIS, KEN","STACY, ARTHUR",1
"BULLSEYE II/BENJAMIN","STACY, ARTHUR",1
"OVERRIDE/DR. GREGORY","STACY, ARTHUR",1
"MORGAN","PARKER, MAY",1
"KINGSLEY, DANIEL","PARKER, MAY",1
"HOCHBERG, ROGER","PARKER, MAY",1
"FROG-MAN II/EUGENE P","PARKER, MAY",1
"MANOLIS, LT. NICK","PARKER, MAY",1
"ALRAUNE, MARLENE","PARKER, MAY",1
"PULASKI, JOSEPHINE J","PARKER, MAY",1
"RED SKULL II/ALBERT ","PARKER, MAY",1
"TRAINER, DR. SEWARD","PARKER, MAY",1
"GUARDIAN IV","PARKER, MAY",1
"GRIM HUNTER/KRAVINOF","PARKER, MAY",1
"BULLSEYE II/BENJAMIN","PARKER, MAY",1
"MCCORMICK, BARRY","PARKER, MAY",1
"OVERRIDE/DR. GREGORY","PARKER, MAY",1
"NIGHTMARE/EDVARD HAB","PARKER, MAY",1
"EON","VENOM/EDDIE BROCK",1
"TRAINER, DR. SEWARD","VENOM/EDDIE BROCK",1
"BYRNES, GAYLE WATSON","VENOM/EDDIE BROCK",1
"GRIM HUNTER/KRAVINOF","VENOM/EDDIE BROCK",1
"RAVEN, LT. JACOB","VENOM/EDDIE BROCK",1
"NIGHTMARE/EDVARD HAB","VENOM/EDDIE BROCK",1
"STACY, GWEN","STACY, PAUL",1
"STACY, CAPT. GEORGE","STACY, PAUL",1
"WARD, SEN. STEWART","STACY, PAUL",1
"OVERRIDE/DR. GREGORY","STACY, PAUL",1
"ARMBRUSTER, COLONEL ","MISSING LINK",1
"CLARK, JOHN","MISSING LINK",1
"CLARK, SARAH","MISSING LINK",1
"ARMBRUSTER, COLONEL ","BRICKFORD, CLAY",1
"CLARK, JOHN","BRICKFORD, CLAY",1
"CLARK, SARAH","BRICKFORD, CLAY",1
"DAYTRIPPER/AMANDA SE","CORBEAU, DR. PETER",1
"ARMBRUSTER, COLONEL ","CORBEAU, DR. PETER",1
"KAUR, BENAZIR","PROFESSOR X/CHARLES ",1
"PAYGE, REEVA","PROFESSOR X/CHARLES ",1
"KINE, BENEDICT","PROFESSOR X/CHARLES ",1
"QUARK","PROFESSOR X/CHARLES ",1
"RICHARDS, NATHANIEL","PROFESSOR X/CHARLES ",1
"OGRE","PROFESSOR X/CHARLES ",1
"LOCUST","PROFESSOR X/CHARLES ",1
"DOMINUS","PROFESSOR X/CHARLES ",1
"HENDERSHOOT, COLONEL","PROFESSOR X/CHARLES ",1
"CHANG, IMEI","PROFESSOR X/CHARLES ",1
"LANDERS, GENA","PROFESSOR X/CHARLES ",1
"ALRAUNE, MARLENE","PROFESSOR X/CHARLES ",1
"D'SPAYRE","PROFESSOR X/CHARLES ",1
"ARMBRUSTER, COLONEL ","PROFESSOR X/CHARLES ",1
"COBALT MAN","PROFESSOR X/CHARLES ",1
"NIGHTMARE/EDVARD HAB","PROFESSOR X/CHARLES ",1
"CLARK, JOHN","PROFESSOR X/CHARLES ",1
"CLARK, SARAH","PROFESSOR X/CHARLES ",1
"SHAW, SHINOBI","JUGGERNAUT/CAIN MARK",1
"ZELDA","JUGGERNAUT/CAIN MARK",1
"MUGGINS, MAMIE","JUGGERNAUT/CAIN MARK",1
"BANNON, LANCE","JUGGERNAUT/CAIN MARK",1
"D'SPAYRE","JUGGERNAUT/CAIN MARK",1
"ARMBRUSTER, COLONEL ","JUGGERNAUT/CAIN MARK",1
"NIGHTMARE/EDVARD HAB","JUGGERNAUT/CAIN MARK",1
"IRON MAN/TONY STARK ","WILSON, JIM",1
"SHA SHAN","RHINO",1
"KINGSLEY, DANIEL","RHINO",1
"LIZARD/DR. CURTIS CO","RHINO",1
"SPEEDBALL II/DARRION","RHINO",1
"TRAINER, DR. SEWARD","RHINO",1
"GREEN GOBLIN IV/PHIL","RHINO",1
"ELLIS, KEN","RHINO",1
"VENOM/EDDIE BROCK","RHINO",1
"ARMBRUSTER, COLONEL ","RHINO",1
"NIGHTMARE/EDVARD HAB","RHINO",1
"LOCUST","ABOMINATION/EMIL BLO",1
"BANNON, LANCE","ABOMINATION/EMIL BLO",1
"GATEWAY","ABOMINATION/EMIL BLO",1
"ARMBRUSTER, COLONEL ","ABOMINATION/EMIL BLO",1
"MAELSTROM/MALCOLM ST","ANALYZER",1
"IRON MAN/TONY STARK ","ANALYZER",1
"EON","WARLOCK II/ADAM WARL",1
"HEATER DELIGHT","WARLOCK II/ADAM WARL",1
"SILVER DAGGER/ISAIAH","WARLOCK II/ADAM WARL",1
"AGAMOTTO","WARLOCK II/ADAM WARL",1
"CHANG, IMEI","WARLOCK II/ADAM WARL",1
"WOLFE, SARA","WARLOCK II/ADAM WARL",1
"BLACK CAT/FELICIA HA","WARLOCK II/ADAM WARL",1
"SHAW, SHINOBI","KARNAK [INHUMAN]",1
"PLUNDER, ADAM KYLE M","KARNAK [INHUMAN]",1
"CHURCHILL, SIR WINST","KARNAK [INHUMAN]",1
"SPIDER-MAN CLONE/BEN","KARNAK [INHUMAN]",1
"MAELSTROM/MALCOLM ST","TRITON",1
"SHAW, SHINOBI","TRITON",1
"CHURCHILL, SIR WINST","TRITON",1
"MAELSTROM/MALCOLM ST","BLACK BOLT/BLACKANTO",1
"SHAW, SHINOBI","BLACK BOLT/BLACKANTO",1
"PLUNDER, ADAM KYLE M","BLACK BOLT/BLACKANTO",1
"CHURCHILL, SIR WINST","BLACK BOLT/BLACKANTO",1
"VENOM/EDDIE BROCK","BLACK BOLT/BLACKANTO",1
"MAELSTROM/MALCOLM ST","CRYSTAL [INHUMAN]",1
"SHAW, SHINOBI","CRYSTAL [INHUMAN]",1
"PLUNDER, ADAM KYLE M","CRYSTAL [INHUMAN]",1
"PSI-LORD/FRANKLIN BE","CRYSTAL [INHUMAN]",1
"VIBRAXAS/N'KANO","CRYSTAL [INHUMAN]",1
"CHURCHILL, SIR WINST","CRYSTAL [INHUMAN]",1
"BANSHEE/SEAN CASSIDY","CRYSTAL [INHUMAN]",1
"FREDERICKS, GENERAL","CRYSTAL [INHUMAN]",1
"BLACK CAT/FELICIA HA","CRYSTAL [INHUMAN]",1
"MAELSTROM/MALCOLM ST","LOCKJAW [INHUMAN]",1
"SHAW, SHINOBI","LOCKJAW [INHUMAN]",1
"PLUNDER, ADAM KYLE M","LOCKJAW [INHUMAN]",1
"PSI-LORD/FRANKLIN BE","LOCKJAW [INHUMAN]",1
"VIBRAXAS/N'KANO","LOCKJAW [INHUMAN]",1
"DEVLOR","LOCKJAW [INHUMAN]",1
"PRENTISS, BETTY DEAN","LOCKJAW [INHUMAN]",1
"CHURCHILL, SIR WINST","LOCKJAW [INHUMAN]",1
"SHAW, SHINOBI","GORGON [INHUMAN]",1
"PLUNDER, ADAM KYLE M","GORGON [INHUMAN]",1
"CHURCHILL, SIR WINST","GORGON [INHUMAN]",1
"SPIDER-MAN CLONE/BEN","GORGON [INHUMAN]",1
"MISSING LINK","ARMBRUSTER, COLONEL ",1
"BRICKFORD, CLAY","ARMBRUSTER, COLONEL ",1
"OGRE","ROBERTS, TED",1
"BANSHEE/SEAN CASSIDY","ROBERTS, TED",1
"LOCUST","ROBERTS, TED",1
"EL TIGRE","ROBERTS, TED",1
"RAMON","ROBERTS, TED",1
"TOLOC","ROBERTS, TED",1
"KUKULCAN/VIRAKO/QUET","ROBERTS, TED",1
"DAYTRIPPER/AMANDA SE","MASTERMIND/JASON WYN",1
"OGRE","MASTERMIND/JASON WYN",1
"ZELDA","MASTERMIND/JASON WYN",1
"ARMBRUSTER, COLONEL ","MASTERMIND/JASON WYN",1
"ROBERTS, TED","MASTERMIND/JASON WYN",1
"COBALT MAN","MASTERMIND/JASON WYN",1
"ZELDA","COBALT MAN",1
"LOCUST","ROSS, GEN. THADDEUS ",1
"MIMIC/CALVIN RANKIN","ROSS, GEN. THADDEUS ",1
"STACY, GWEN","ROSS, GEN. THADDEUS ",1
"BRICKFORD, CLAY","ROSS, GEN. THADDEUS ",1
"LOCUST","BANNER, BETTY ROSS T",1
"CHANG, IMEI","BANNER, BETTY ROSS T",1
"D'SPAYRE","BANNER, BETTY ROSS T",1
"BRICKFORD, CLAY","BANNER, BETTY ROSS T",1
"NIGHTMARE/EDVARD HAB","BANNER, BETTY ROSS T",1
"PRENTISS, BETTY DEAN","NORRISS, SISTER BARB",1
"FOREIGNER/RAFAEL BAS","NORRISS, SISTER BARB",1
"FROG-MAN II/EUGENE P","NORRISS, SISTER BARB",1
"BLESSING, MORGANA","NORRISS, SISTER BARB",1
"CHANG, IMEI","NORRISS, SISTER BARB",1
"GUDRUN [ASGARDIAN]","NORRISS, SISTER BARB",1
"D'SPAYRE","NORRISS, SISTER BARB",1
"KUBIK","NORRISS, SISTER BARB",1
"STAR THIEF II","NORRISS, SISTER BARB",1
"SILVER DAGGER/ISAIAH","DEVIL-SLAYER/ERIC SI",1
"RED RAVEN","NIGHTHAWK II/KYLE RI",1
"FOREIGNER/RAFAEL BAS","NIGHTHAWK II/KYLE RI",1
"RED RAVEN","HELLCAT/PATSY WALKER",1
"FOREIGNER/RAFAEL BAS","HELLCAT/PATSY WALKER",1
"FOREIGNER/RAFAEL BAS","DOLLAR BILL",1
"IRON MAN/TONY STARK ","DOLLAR BILL",1
"GARFIELD, MURRAY","DR. STRANGE/STEPHEN ",1
"UNBEING/BILLY BETELH","DR. STRANGE/STEPHEN ",1
"ORIGIN/PHYLLIS TWOMB","DR. STRANGE/STEPHEN ",1
"MAGOG II","DR. STRANGE/STEPHEN ",1
"GOG III","DR. STRANGE/STEPHEN ",1
"SHA SHAN","DR. STRANGE/STEPHEN ",1
"RICHARDS, NATHANIEL","DR. STRANGE/STEPHEN ",1
